"age","sex","N","year"
0,"male",64838.0905704656,2010
1,"male",275341.657269112,2010
5,"male",374507.963126846,2010
10,"male",381745.517592833,2010
15,"male",386211.293312504,2010
20,"male",311516.050282141,2010
25,"male",262541.059875916,2010
30,"male",250331.306341198,2010
35,"male",254550.17657892,2010
40,"male",231659.799441947,2010
45,"male",204203.264965207,2010
50,"male",175144.355910422,2010
55,"male",144559.636839845,2010
60,"male",115613.815823274,2010
65,"male",88573.0687978622,2010
70,"male",73530.1443150663,2010
75,"male",47301.9488245978,2010
80,"male",28686.3001375009,2010
85,"male",25084.9299764667,2010
0,"female",62583.669400199,2010
1,"female",267711.876058342,2010
5,"female",363302.956091782,2010
10,"female",368979.72280452,2010
15,"female",382545.837481168,2010
20,"female",338543.280062707,2010
25,"female",302262.377894302,2010
30,"female",296177.310036344,2010
35,"female",295042.702994308,2010
40,"female",261359.752634942,2010
45,"female",226149.149850233,2010
50,"female",195259.997748752,2010
55,"female",157554.672189997,2010
60,"female",127282.995578139,2010
65,"female",97734.1316662387,2010
70,"female",83853.3012456472,2010
75,"female",54153.0357871736,2010
80,"female",34781.554579273,2010
85,"female",32609.8085542628,2010
0,"male",55610.3547120124,2019
1,"male",250163.233977447,2019
5,"male",344708.70346939,2019
10,"male",350183.218600657,2019
15,"male",347178.822752779,2019
20,"male",293825.196877236,2019
25,"male",272048.201833312,2019
30,"male",262547.37563783,2019
35,"male",258415.067267961,2019
40,"male",246223.059361461,2019
45,"male",237453.608715742,2019
50,"male",223482.183402693,2019
55,"male",188648.034654179,2019
60,"male",159061.909399639,2019
65,"male",127150.909341913,2019
70,"male",93689.2019313052,2019
75,"male",67135.0529386603,2019
80,"male",41849.5433438256,2019
85,"male",35877.4841746798,2019
0,"female",54564.3535334936,2019
1,"female",244972.077272701,2019
5,"female",335093.596637529,2019
10,"female",340086.875282326,2019
15,"female",340608.735874912,2019
20,"female",310268.677452656,2019
25,"female",307457.455574646,2019
30,"female",304204.852323006,2019
35,"female",299927.812546327,2019
40,"female",288287.166822677,2019
45,"female",272149.165064372,2019
50,"female",255528.177902019,2019
55,"female",211376.591597169,2019
60,"female",179996.065346517,2019
65,"female",144129.365224979,2019
70,"female",105827.133533262,2019
75,"female",74887.1260857113,2019
80,"female",50663.2280426493,2019
85,"female",48322.263902816,2019
0,"male",53745.1275916732,2021
1,"male",244888.433887873,2021
5,"male",338415.535432788,2021
10,"male",343531.644753391,2021
15,"male",339055.361797229,2021
20,"male",290032.391926692,2021
25,"male",274207.221136757,2021
30,"male",265342.012283206,2021
35,"male",259281.869795312,2021
40,"male",249581.697199942,2021
45,"male",245548.850766076,2021
50,"male",235919.808903702,2021
55,"male",200143.89052196,2021
60,"male",170748.349779254,2021
65,"male",137788.289902013,2021
70,"male",98871.8539203428,2021
75,"male",72567.595997886,2021
80,"male",45513.3459925538,2021
85,"male",38846.9864894878,2021
0,"female",52926.750937716,2021
1,"female",240187.10316903,2021
5,"female",329128.511817428,2021
10,"female",333979.952705685,2021
15,"female",331932.385669582,2021
20,"female",304313.337491636,2021
25,"female",308623.989381939,2021
30,"female",306018.092968334,2021
35,"female",301024.329914288,2021
40,"female",294638.163522792,2021
45,"female",283580.490918457,2021
50,"female",271268.911293024,2021
55,"female",225641.062521423,2021
60,"female",194404.277704472,2021
65,"female",157124.078606644,2021
70,"female",111444.479195925,2021
75,"female",80480.8540959295,2021
80,"female",55079.6909998762,2021
85,"female",52735.4445547409,2021
