"","year","sex","age","pop"
"1",2010,"male",0,64860.8210193672
"2",2010,"male",1,275401.949281347
"3",2010,"male",5,374578.864146504
"4",2010,"male",10,381820.739069858
"5",2010,"male",15,386305.251629054
"6",2010,"male",20,311557.635358332
"7",2010,"male",25,262519.7387064
"8",2010,"male",30,250304.076417866
"9",2010,"male",35,254541.419095777
"10",2010,"male",40,231627.555511182
"11",2010,"male",45,204132.9451923
"12",2010,"male",50,175046.925514824
"13",2010,"male",55,144471.808601745
"14",2010,"male",60,115529.633691246
"15",2010,"male",65,88499.9863867469
"16",2010,"male",70,73489.4810553348
"17",2010,"male",75,47264.148856325
"18",2010,"male",80,28661.5763157628
"19",2010,"male",85,25064.4441500289
"20",2020,"male",0,54948.2257480297
"21",2020,"male",1,248298.470617175
"22",2020,"male",5,342485.996312209
"23",2020,"male",10,347833.353872168
"24",2020,"male",15,344304.798191349
"25",2020,"male",20,292487.953016317
"26",2020,"male",25,272804.274813847
"27",2020,"male",30,263525.183818781
"28",2020,"male",35,258719.064881822
"29",2020,"male",40,247397.073206226
"30",2020,"male",45,240264.928763766
"31",2020,"male",50,227772.421027336
"32",2020,"male",55,192606.917148463
"33",2020,"male",60,163070.895213442
"34",2020,"male",65,130788.662520313
"35",2020,"male",70,95477.0942441048
"36",2020,"male",75,68994.4184780263
"37",2020,"male",80,43101.002506675
"38",2020,"male",85,36893.2656199492
"39",2010,"female",0,62603.2653808224
"40",2010,"female",1,267766.13726726
"41",2010,"female",5,363370.005102624
"42",2010,"female",10,369048.420578807
"43",2010,"female",15,382647.264058756
"44",2010,"female",20,338610.696553088
"45",2010,"female",25,302250.617990622
"46",2010,"female",30,296159.226843445
"47",2010,"female",35,295031.641310385
"48",2010,"female",40,261301.246064697
"49",2010,"female",45,226053.570106211
"50",2010,"female",50,195140.11430263
"51",2010,"female",55,157448.998957424
"52",2010,"female",60,127182.33593268
"53",2010,"female",65,97647.4900896267
"54",2010,"female",70,83808.7563302029
"55",2010,"female",75,54112.9714388939
"56",2010,"female",80,34751.7002751827
"57",2010,"female",85,32580.5414166424
"58",2020,"female",0,53983.7100236761
"59",2020,"female",1,243281.344301394
"60",2020,"female",5,332987.081971248
"61",2020,"female",10,337930.161440253
"62",2020,"female",15,337536.996042293
"63",2020,"female",20,308164.639594208
"64",2020,"female",25,307866.514177943
"65",2020,"female",30,304840.241076599
"66",2020,"female",35,300312.336264473
"67",2020,"female",40,290501.208890959
"68",2020,"female",45,276109.154399741
"69",2020,"female",50,260947.776267223
"70",2020,"female",55,216278.984870526
"71",2020,"female",60,184928.796382323
"72",2020,"female",65,148564.498544059
"73",2020,"female",70,107766.335454502
"74",2020,"female",75,76805.3106808192
"75",2020,"female",80,52171.9478463095
"76",2020,"female",85,49827.9617714504
